Number,Date,State/Tribal Government,Incident Description,Declaration Type
1939,9/28/2010,Virgin Islands,Hurricane Earl,Major Disaster Declaration
1938,9/23/2010,South Dakota,Severe Storms and Flooding,Major Disaster Declaration
2859,9/19/2010,Utah,Machine Gun Fire,Fire Management Assistance Declaration
1937,9/15/2010,Tennessee,Severe Storms and Flooding,Major Disaster Declaration
2858,9/15/2010,California,Canyon Fire,Fire Management Assistance Declaration
1936,9/13/2010,New Mexico,Severe Storms and Flooding,Major Disaster Declaration
2857,9/12/2010,Colorado,Reservoir Fire,Fire Management Assistance Declaration
2856,9/10/2010,California,Glenview Fire,Fire Management Assistance Declaration
2855,9/6/2010,Colorado,Four Mile Canyon Fire,Fire Management Assistance Declaration
3315,9/2/2010,Massachusetts,Hurricane Earl,Emergency Declaration
3314,9/1/2010,North Carolina,Hurricane Earl,Emergency Declaration
2854,8/27/2010,Washington,Slide Creek Fire,Fire Management Assistance Declaration
2853,8/26/2010,Idaho,Hurd Fire,Fire Management Assistance Declaration
2852,8/24/2010,California,POST Fire,Fire Management Assistance Declaration
1935,8/19/2010,Illinois,Severe Storms and Flooding,Major Disaster Declaration
1934,8/17/2010,Missouri,"Severe Storms, Flooding, and Tornadoes",Major Disaster Declaration
1933,8/11/2010,Wisconsin,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1932,8/10/2010,Kansas,"Severe Storms, Flooding, and Tornadoes",Major Disaster Declaration
1931,8/3/2010,Texas,Hurricane Alex,Major Disaster Declaration
2851,7/30/2010,California,Crown Fire,Fire Management Assistance Declaration
1930,7/29/2010,Iowa,"Severe Storms, Flooding, and Tornadoes",Major Disaster Declaration
1929,7/29/2010,South Dakota,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
2850,7/28/2010,California,West Fire,Fire Management Assistance Declaration
1927,7/27/2010,Idaho,Severe Storms and Flooding,Major Disaster Declaration
2849,7/27/2010,California,Bull Fire,Fire Management Assistance Declaration
1928,7/27/2010,Iowa,Severe Storms and Flooding,Major Disaster Declaration
1926,7/26/2010,Oklahoma,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
1925,7/23/2010,Kentucky,"Severe Storms, Flooding, and Mudslides",Major Disaster Declaration
2848,7/19/2010,Washington,Cowiche Mills Fire,Fire Management Assistance Declaration
1924,7/15/2010,Nebraska,"Severe Storms, Flooding, and Tornadoes",Major Disaster Declaration
1923,7/14/2010,Wyoming,Flooding,Major Disaster Declaration
1922,7/10/2010,Montana,Severe Storms and Flooding,Major Disaster Declaration
1921,7/2/2010,Minnesota,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
2847,7/1/2010,Nevada,Cathedral Fire,Fire Management Assistance Declaration
1920,7/1/2010,Maine,Severe Storms and Flooding,Major Disaster Declaration
3313,6/29/2010,Texas,Tropical Storm Alex,Emergency Declaration
1919,6/24/2010,Puerto Rico,Severe Storms and Flooding,Major Disaster Declaration
1918,6/24/2010,West Virginia,"Severe Storms, Flooding, Mudslides, and Landslides",Major Disaster Declaration
2846,6/20/2010,Arizona,Shultz Fire,Fire Management Assistance Declaration
2845,6/19/2010,Arizona,Hardy Fire,Fire Management Assistance Declaration
2844,6/9/2010,Hawaii,Maalaea Fire,Fire Management Assistance Declaration
2843,6/2/2010,New Mexico,Rio Fire,Fire Management Assistance Declaration
1917,5/24/2010,Oklahoma,"Severe Storms, Tornadoes, and Straight-Line Winds",Major Disaster Declaration
2842,5/24/2010,New Mexico,Cabazon Fire,Fire Management Assistance Declaration
1916,5/14/2010,Mississippi,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1915,5/13/2010,South Dakota,Flooding,Major Disaster Declaration
1914,5/13/2010,South Dakota,Severe Winter Storm,Major Disaster Declaration
1913,5/12/2010,New Hampshire,Severe Storms and Flooding,Major Disaster Declaration
1912,5/11/2010,Kentucky,"Severe Storms, Flooding, Mudslides, and Tornadoes",Major Disaster Declaration
1911,5/7/2010,California,Earthquake,Major Disaster Declaration
1910,5/6/2010,Maryland,Severe Winter Storms and Snowstorms,Major Disaster Declaration
1909,5/4/2010,Tennessee,"Severe Storms, Flooding, Straight-Line Winds, and Tornadoes",Major Disaster Declaration
3312,5/3/2010,Massachusetts,Water Main Break,Emergency Declaration
1908,5/3/2010,Alabama,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
1907,4/30/2010,North Dakota,Flooding,Major Disaster Declaration
1906,4/29/2010,Mississippi,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1905,4/27/2010,Virginia,Severe Winter Storms and Snowstorms,Major Disaster Declaration
1904,4/23/2010,Connecticut,Severe Storms and Flooding,Major Disaster Declaration
1903,4/23/2010,West Virginia,Severe Winter Storms and Snowstorms,Major Disaster Declaration
1901,4/21/2010,North Dakota,Severe Winter Storm,Major Disaster Declaration
1902,4/21/2010,Nebraska,"Severe Storms, Ice Jams, and Flooding",Major Disaster Declaration
1900,4/19/2010,Minnesota,Flooding,Major Disaster Declaration
1899,4/16/2010,New York,Severe Storms and Flooding,Major Disaster Declaration
1898,4/16/2010,Pennsylvania,Severe Winter Storms and Snowstorms,Major Disaster Declaration
1897,4/2/2010,New Jersey,Severe Storms and Flooding,Major Disaster Declaration
1896,3/31/2010,Delaware,Severe Winter Storms and Snowstorms,Major Disaster Declaration
3311,3/30/2010,Rhode Island,Severe Storms and Flooding,Emergency Declaration
1893,3/29/2010,West Virginia,"Severe Storms, Flooding, Mudslides, and Landslides",Major Disaster Declaration
1892,3/29/2010,New Hampshire,Severe Winter Storm,Major Disaster Declaration
1895,3/29/2010,Massachusetts,Severe Storm and Flooding,Major Disaster Declaration
1894,3/29/2010,Rhode Island,Severe Storms and Flooding,Major Disaster Declaration
1891,3/25/2010,Maine,Severe Winter Storms and Flooding,Major Disaster Declaration
1890,3/24/2010,District of Columbia (DC),Severe Winter Storms and Snowstorms,Major Disaster Declaration
1889,3/23/2010,New Jersey,Severe Winter Storm and Snowstorm,Major Disaster Declaration
3310,3/19/2010,Minnesota,Flooding,Emergency Declaration
1888,3/18/2010,Arizona,Severe Winter Storms and Flooding,Major Disaster Declaration
3309,3/14/2010,North Dakota,Flooding,Emergency Declaration
1887,3/10/2010,South Dakota,Severe Winter Storm,Major Disaster Declaration
1885,3/9/2010,Kansas,Severe Winter Storms and Snowstorm,Major Disaster Declaration
1886,3/9/2010,South Dakota,Severe Winter Storm and Snowstorm,Major Disaster Declaration
1884,3/8/2010,California,"Severe Winter Storms, Flooding, and Debris and Mud Flows",Major Disaster Declaration
1883,3/5/2010,Oklahoma,Severe Winter Storm,Major Disaster Declaration
1882,3/3/2010,District of Columbia (DC),Severe Winter Storm and Snowstorm,Major Disaster Declaration
1880,3/2/2010,Iowa,Severe Winter Storms,Major Disaster Declaration
1881,3/2/2010,West Virginia,Severe Winter Storm and Snowstorm,Major Disaster Declaration
1879,2/26/2010,North Dakota,Severe Winter Storm,Major Disaster Declaration
1877,2/25/2010,Iowa,Severe Winter Storms and Snowstorm,Major Disaster Declaration
1878,2/25/2010,Nebraska,Severe Winter Storms and Snowstorm,Major Disaster Declaration
1876,2/25/2010,Oklahoma,Severe Winter Storm,Major Disaster Declaration
1875,2/19/2010,Maryland,Severe Winter Storm and Snowstorm,Major Disaster Declaration
1874,2/16/2010,Virginia,Severe Winter Storm and Snowstorm,Major Disaster Declaration
1873,2/5/2010,New Jersey,Snowstorm,Major Disaster Declaration
1872,2/4/2010,Arkansas,Severe Storms and Flooding,Major Disaster Declaration
1871,2/2/2010,North Carolina,Severe Winter Storms and Flooding,Major Disaster Declaration
3308,1/30/2010,Oklahoma,Severe Winter Storm,Emergency Declaration
3307,1/24/2010,Arizona,Severe Winter Storm,Emergency Declaration
4050,12/22/2011,Alaska,Severe Winter Storms And Flooding,Major Disaster Declaration
4049,12/5/2011,New Hampshire,Severe Storm and Snowstorm,Major Disaster Declaration
4048,11/30/2011,New Jersey,Severe Storm,Major Disaster Declaration
4047,11/23/2011,New Mexico,Flooding,Major Disaster Declaration
2973,11/18/2011,Nevada,Pinehaven Fire,Fire Management Assistance Declaration
4046,11/17/2011,Connecticut,Severe Storm,Major Disaster Declaration
4045,11/17/2011,Virginia,Remnants of Tropical Storm Lee,Major Disaster Declaration
4043,11/8/2011,Vermont,Severe Storms And Flooding,Major Disaster Declaration
4044,11/8/2011,District of Columbia (DC),Earthquake,Major Disaster Declaration
4042,11/4/2011,Virginia,Earthquake,Major Disaster Declaration
3343,11/1/2011,Massachusetts,Severe Storm,Emergency Declaration
3344,11/1/2011,New Hampshire,Severe Storm,Emergency Declaration
3342,10/31/2011,Connecticut,Severe Storm,Emergency Declaration
4041,10/28/2011,Louisiana,Tropical Storm Lee,Major Disaster Declaration
4040,10/18/2011,Puerto Rico,Tropical Storm Maria,Major Disaster Declaration
4039,10/14/2011,New Jersey,Remnants of Tropical Storm Lee,Major Disaster Declaration
4038,10/5/2011,Maryland,Remnants of Tropical Storm Lee,Major Disaster Declaration
2972,10/3/2011,Nevada,Indian Creek Fire,Fire Management Assistance Declaration
4037,9/30/2011,Delaware,Hurricane Irene,Major Disaster Declaration
4036,9/28/2011,District of Columbia (DC),Hurricane Irene,Major Disaster Declaration
4035,9/23/2011,Kansas,Flooding,Major Disaster Declaration
4034,9/16/2011,Maryland,Hurricane Irene,Major Disaster Declaration
4033,9/15/2011,New Jersey,Severe Storms and Flooding,Major Disaster Declaration
4031,9/13/2011,New York,Remnants of Tropical Storm Lee,Major Disaster Declaration
4032,9/13/2011,Maine,Tropical Storm Irene,Major Disaster Declaration
4030,9/12/2011,Pennsylvania,Tropical Storm Lee,Major Disaster Declaration
2971,9/11/2011,California,Comanche Fire Complex,Fire Management Assistance Declaration
2970,9/11/2011,California,Keene Fire Complex,Fire Management Assistance Declaration
2969,9/10/2011,Nevada,Holbrook Fire,Fire Management Assistance Declaration
4029,9/9/2011,Texas,Wildfires,Major Disaster Declaration
2968,9/9/2011,Texas,Pat Gross Fire,Fire Management Assistance Declaration
2966,9/8/2011,Washington,Monastery Fire Complex,Fire Management Assistance Declaration
3340,9/8/2011,Pennsylvania,Remnants of Tropical Storm Lee,Emergency Declaration
3341,9/8/2011,New York,Remnants of Tropical Storm Lee,Emergency Declaration
2967,9/8/2011,Texas,Big Oak Fire,Fire Management Assistance Declaration
2962,9/6/2011,Texas,Tamina Fire,Fire Management Assistance Declaration
2964,9/6/2011,Texas,Riley Road Fire,Fire Management Assistance Declaration
2965,9/6/2011,Texas,Bear Creek Fire,Fire Management Assistance Declaration
2963,9/6/2011,Texas,Moonglow Fire,Fire Management Assistance Declaration
2959,9/5/2011,Texas,Pedernales Bend Fire,Fire Management Assistance Declaration
2960,9/5/2011,Texas,Steiner Ranch Fire,Fire Management Assistance Declaration
2961,9/5/2011,California,Canyon Fire,Fire Management Assistance Declaration
2957,9/4/2011,Texas,Hodde Fire,Fire Management Assistance Declaration
2958,9/4/2011,Texas,Bastrop County Fire Complex,Fire Management Assistance Declaration
4026,9/3/2011,New Hampshire,Tropical Storm Irene,Major Disaster Declaration
4024,9/3/2011,Virginia,Hurricane Irene,Major Disaster Declaration
4025,9/3/2011,Pennsylvania,Hurricane Irene,Major Disaster Declaration
4028,9/3/2011,Massachusetts,Tropical Storm Irene,Major Disaster Declaration
2956,9/3/2011,Oklahoma,Ferguson Fire,Fire Management Assistance Declaration
4027,9/3/2011,Rhode Island,Tropical Storm Irene,Major Disaster Declaration
2955,9/2/2011,California,Hill Fire,Fire Management Assistance Declaration
4023,9/2/2011,Connecticut,Tropical Storm Irene,Major Disaster Declaration
4022,9/1/2011,Vermont,Tropical Storm Irene,Major Disaster Declaration
2953,8/31/2011,Oklahoma,Twin Lakes Fire Complex,Fire Management Assistance Declaration
2954,8/31/2011,Oklahoma,Westminster Fire,Fire Management Assistance Declaration
4019,8/31/2011,North Carolina,Hurricane Irene,Major Disaster Declaration
4021,8/31/2011,New Jersey,Hurricane Irene,Major Disaster Declaration
4020,8/31/2011,New York,Hurricane Irene,Major Disaster Declaration
4018,8/30/2011,Iowa,Severe Storms and Flooding,Major Disaster Declaration
2951,8/30/2011,Oklahoma,63rd and Sooner Road Fire,Fire Management Assistance Declaration
2952,8/30/2011,Texas,101 Ranch Fire,Fire Management Assistance Declaration
3339,8/29/2011,Pennsylvania,Hurricane Irene,Emergency Declaration
2950,8/29/2011,Montana,Canyon Creek Fire,Fire Management Assistance Declaration
3338,8/29/2011,Vermont,Hurricane Irene,Emergency Declaration
3337,8/28/2011,District of Columbia (DC),Hurricane Irene,Emergency Declaration
3336,8/28/2011,Delaware,Hurricane Irene,Emergency Declaration
3331,8/27/2011,Connecticut,Hurricane Irene,Emergency Declaration
3335,8/27/2011,Maryland,Hurricane Irene,Emergency Declaration
3333,8/27/2011,New Hampshire,Hurricane Irene,Emergency Declaration
3332,8/27/2011,New Jersey,Hurricane Irene,Emergency Declaration
4017,8/27/2011,Puerto Rico,Hurricane Irene,Major Disaster Declaration
3334,8/27/2011,Rhode Island,Hurricane Irene,Emergency Declaration
3330,8/26/2011,Massachusetts,Hurricane Irene,Emergency Declaration
3328,8/26/2011,New York,Hurricane Irene,Emergency Declaration
3329,8/26/2011,Virginia,Hurricane Irene,Emergency Declaration
3327,8/25/2011,North Carolina,Hurricane Irene,Emergency Declaration
4016,8/24/2011,Iowa,"Severe Storms, Straight-Line Winds, and Flooding",Major Disaster Declaration
3326,8/22/2011,Puerto Rico,Hurricane Irene,Emergency Declaration
4015,8/18/2011,Louisiana,Flooding,Major Disaster Declaration
2949,8/15/2011,Texas,Horseshoe Fire,Fire Management Assistance Declaration
4014,8/12/2011,Nebraska,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
4013,8/12/2011,Nebraska,Flooding,Major Disaster Declaration
4012,8/12/2011,Missouri,Flooding,Major Disaster Declaration
2948,8/8/2011,Oklahoma,Cedar Lane Fire,Fire Management Assistance Declaration
4011,8/8/2011,Utah,Flooding,Major Disaster Declaration
2947,8/7/2011,Oklahoma,Cleveland-Mannford Fire Complex,Fire Management Assistance Declaration
2946,8/5/2011,Oklahoma,265th West Fire,Fire Management Assistance Declaration
2945,8/4/2011,Oklahoma,Coffee Creek Fire,Fire Management Assistance Declaration
2942,8/2/2011,Oklahoma,Anderson Road Fire,Fire Management Assistance Declaration
2943,8/2/2011,Oklahoma,Regency Fire,Fire Management Assistance Declaration
2944,8/2/2011,Oklahoma,Turley Fire,Fire Management Assistance Declaration
2941,8/1/2011,Oklahoma,Mustang Road Fire,Fire Management Assistance Declaration
4010,7/29/2011,Kansas,"Severe Storms, Straight-line Winds, Tornadoes, and Flooding",Major Disaster Declaration
4009,7/28/2011,Minnesota,"Severe Storms, Flooding, and Tornadoes",Major Disaster Declaration
2940,7/26/2011,Oklahoma,Frankhoma-81 Fire,Fire Management Assistance Declaration
4008,7/25/2011,Kentucky,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
4007,7/22/2011,Wyoming,"Severe Storms, Flooding, And Landslides",Major Disaster Declaration
4006,7/22/2011,New Hampshire,Severe Storms and Flooding,Major Disaster Declaration
4005,7/20/2011,Tennessee,"Severe Storms, Straight-line Winds, Tornadoes, and Flooding",Major Disaster Declaration
2938,7/15/2011,Oklahoma,Edmond Fire,Fire Management Assistance Declaration
2939,7/15/2011,Oklahoma,Falls Creek Fire,Fire Management Assistance Declaration
4004,7/14/2011,Puerto Rico,"Severe Storms, Flooding, Mudslides, And Landslides",Major Disaster Declaration
4003,7/13/2011,Pennsylvania,Severe Storms and Flooding,Major Disaster Declaration
4002,7/13/2011,Ohio,Severe Storms and Flooding,Major Disaster Declaration
2937,7/11/2011,Texas,Nolan County Fire Complex,Fire Management Assistance Declaration
4001,7/8/2011,Vermont,Severe Storms And Flooding,Major Disaster Declaration
4000,7/8/2011,Arkansas,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
2936,7/4/2011,North Carolina,Simmons Road Fire,Fire Management Assistance Declaration
1999,7/1/2011,Texas,Wildfires,Major Disaster Declaration
3325,6/30/2011,Missouri,Flooding,Emergency Declaration
2935,6/30/2011,New Mexico,Donaldson Fire,Fire Management Assistance Declaration
2934,6/29/2011,New Mexico,Little Lewis Fire,Fire Management Assistance Declaration
1998,6/27/2011,Iowa,Flooding,Major Disaster Declaration
2933,6/26/2011,New Mexico,Las Conchas Fire,Fire Management Assistance Declaration
3324,6/25/2011,Kansas,Flooding,Emergency Declaration
2932,6/24/2011,Oklahoma,Medicine Park Fire,Fire Management Assistance Declaration
1997,6/23/2011,Indiana,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",Major Disaster Declaration
2930,6/21/2011,Texas,Boyken Road Fire,Fire Management Assistance Declaration
2931,6/21/2011,Texas,White Hat Fire,Fire Management Assistance Declaration
2927,6/20/2011,Texas,Dyer Mill Fire,Fire Management Assistance Declaration
2928,6/20/2011,Texas,McDonald 2 Fire,Fire Management Assistance Declaration
2929,6/20/2011,Texas,Cowboy Church Fire,Fire Management Assistance Declaration
2925,6/18/2011,Texas,County Line Fire,Fire Management Assistance Declaration
3323,6/18/2011,Nebraska,Flooding,Emergency Declaration
2926,6/18/2011,Texas,Powerline Fire,Fire Management Assistance Declaration
2924,6/17/2011,Texas,Forest Brook Fire,Fire Management Assistance Declaration
1996,6/17/2011,Montana,Severe Storms and Flooding,Major Disaster Declaration
2923,6/16/2011,Colorado,Duckett Fire,Fire Management Assistance Declaration
2922,6/16/2011,Texas,Grand Mesa Fire,Fire Management Assistance Declaration
2921,6/16/2011,Georgia,Sweat Farm Again Fire,Fire Management Assistance Declaration
1995,6/15/2011,Vermont,Severe Storms and Flooding,Major Disaster Declaration
1994,6/15/2011,Massachusetts,Severe Storms and Tornadoes,Major Disaster Declaration
2920,6/15/2011,Georgia,Racepond Fire,Fire Management Assistance Declaration
2919,6/12/2011,Arizona,Monument Fire,Fire Management Assistance Declaration
2918,6/12/2011,New Mexico,Track Fire,Fire Management Assistance Declaration
2917,6/10/2011,New Mexico,Wallow Fire,Fire Management Assistance Declaration
1993,6/10/2011,New York,"Severe Storms, Flooding, Tornadoes, and Straight-line Winds",Major Disaster Declaration
1992,6/10/2011,Alaska,Ice Jam And Flooding,Major Disaster Declaration
1991,6/7/2011,Illinois,Severe Storms and Flooding,Major Disaster Declaration
1990,6/7/2011,Minnesota,Severe Storms and Tornadoes,Major Disaster Declaration
1989,6/6/2011,Oklahoma,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
2916,6/3/2011,Texas,Snyder Fire,Fire Management Assistance Declaration
2914,6/2/2011,Texas,Tejano Canyon Fire,Fire Management Assistance Declaration
2915,6/2/2011,Arizona,Wallow Fire,Fire Management Assistance Declaration
2911,5/29/2011,Texas,Reimer Fire,Fire Management Assistance Declaration
2913,5/29/2011,Texas,Stone Ridge Fire,Fire Management Assistance Declaration
2912,5/29/2011,Texas,Pitt Road  Fire,Fire Management Assistance Declaration
1988,5/27/2011,Oklahoma,Severe Storms and Flooding,Major Disaster Declaration
2910,5/24/2011,Texas,Ceed Fire,Fire Management Assistance Declaration
2909,5/22/2011,Alaska,Moose Mountain Fire,Fire Management Assistance Declaration
1986,5/20/2011,North Dakota,Severe Winter Storm,Major Disaster Declaration
1987,5/20/2011,Idaho,"Flooding, Landslides, and Mudslides",Major Disaster Declaration
1985,5/13/2011,Oklahoma,Severe Winter Storm and Snowstorm,Major Disaster Declaration
1984,5/13/2011,South Dakota,Flooding,Major Disaster Declaration
1983,5/11/2011,Mississippi,Flooding,Major Disaster Declaration
1982,5/10/2011,Minnesota,Severe Storms and Flooding,Major Disaster Declaration
1981,5/10/2011,North Dakota,Flooding,Major Disaster Declaration
2908,5/9/2011,Texas,Matt Loop Fire,Fire Management Assistance Declaration
2907,5/9/2011,Arizona,Horseshoe Two Fire,Fire Management Assistance Declaration
1978,5/9/2011,Tennessee,"Severe Storms, Flooding, Tornadoes, and Straight-Line Winds",Major Disaster Declaration
1979,5/9/2011,Tennessee,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
1980,5/9/2011,Missouri,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
2906,5/8/2011,Texas,Gage Holland Fire,Fire Management Assistance Declaration
3322,5/6/2011,Louisiana,Flooding,Emergency Declaration
1977,5/5/2011,Iowa,"Severe Storms, Tornadoes, and Straight-line Winds",Major Disaster Declaration
1976,5/4/2011,Kentucky,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
3321,5/4/2011,Tennessee,Flooding,Emergency Declaration
3320,5/4/2011,Mississippi,Flooding,Emergency Declaration
1975,5/2/2011,Arkansas,"Severe Storms, Tornadoes, and Associated Flooding",Major Disaster Declaration
1974,5/1/2011,Tennessee,"Severe Storms, Tornadoes, Straight-line Winds, and Associated Flooding",Major Disaster Declaration
2905,4/30/2011,Texas,Sisk Road Fire,Fire Management Assistance Declaration
2904,4/30/2011,Texas,Waggoner Ranch Fire,Fire Management Assistance Declaration
1972,4/29/2011,Mississippi,"Severe Storms, Tornadoes, Straight-line Winds, and Associated Flooding",Major Disaster Declaration
1973,4/29/2011,Georgia,"Severe Storms, Tornadoes, Straight-line Winds, and Associated Flooding",Major Disaster Declaration
2903,4/29/2011,Texas,Oasis Pipeline Fire,Fire Management Assistance Declaration
1971,4/28/2011,Alabama,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
2902,4/27/2011,Florida,Slope Fire,Fire Management Assistance Declaration
2901,4/27/2011,Texas,Pleasant Farms Fire,Fire Management Assistance Declaration
3319,4/27/2011,Alabama,"Severe Storms, Tornadoes, and Straight-line Winds",Emergency Declaration
1970,4/22/2011,Oklahoma,"Severe Storms, Tornadoes, and Straight-Line Winds",Major Disaster Declaration
2900,4/22/2011,Nebraska,Thedford Fire,Fire Management Assistance Declaration
2899,4/21/2011,Texas,148/2332 Fire,Fire Management Assistance Declaration
1969,4/19/2011,North Carolina,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1968,4/18/2011,California,Tsunami Waves,Major Disaster Declaration
2896,4/17/2011,Texas,Bryson Fire Complex,Fire Management Assistance Declaration
2897,4/17/2011,New Mexico,Tire Fire,Fire Management Assistance Declaration
2898,4/17/2011,Texas,Pinnacle Fire,Fire Management Assistance Declaration
2895,4/16/2011,Texas,PK East Fire,Fire Management Assistance Declaration
2894,4/16/2011,Texas,East Sidwynicks Fire,Fire Management Assistance Declaration
2893,4/16/2011,Texas,Hohertz Fire,Fire Management Assistance Declaration
2889,4/15/2011,Texas,Cooper Mountain Ranch Fire,Fire Management Assistance Declaration
2892,4/15/2011,Texas,Wildcat Fire,Fire Management Assistance Declaration
2891,4/15/2011,Texas,Wichita Fire Complex,Fire Management Assistance Declaration
2890,4/15/2011,Oklahoma,Goodyear Plant Fire,Fire Management Assistance Declaration
2888,4/15/2011,Texas,PK West Fire,Fire Management Assistance Declaration
2887,4/10/2011,Oklahoma,Cleveland Fire,Fire Management Assistance Declaration
2886,4/9/2011,Texas,Hickman Fire,Fire Management Assistance Declaration
2885,4/9/2011,Texas,Rockhouse Fire,Fire Management Assistance Declaration
2884,4/9/2011,Texas,Swenson Fire,Fire Management Assistance Declaration
1967,4/8/2011,Hawaii,Tsunami Waves,Major Disaster Declaration
3318,4/7/2011,North Dakota,Flooding,Emergency Declaration
2883,4/6/2011,Oklahoma,Jones-Spencer Fire,Fire Management Assistance Declaration
1966,4/5/2011,Wisconsin,Severe Winter Storm and Snowstorm,Major Disaster Declaration
2882,4/5/2011,Texas,El Cenzio Fire,Fire Management Assistance Declaration
2877,4/3/2011,Colorado,Crystal Fire,Fire Management Assistance Declaration
2878,4/3/2011,Kansas,Haskell County Fire,Fire Management Assistance Declaration
2879,4/3/2011,Oklahoma,Guymon Fire,Fire Management Assistance Declaration
2880,4/3/2011,New Mexico,White Fire,Fire Management Assistance Declaration
2881,4/3/2011,Texas,Bates Field Fire,Fire Management Assistance Declaration
1965,3/31/2011,Tennessee,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1964,3/25/2011,Oregon,Tsunami Wave Surge,Major Disaster Declaration
2876,3/25/2011,Georgia,Mosley Road Fire,Fire Management Assistance Declaration
1963,3/25/2011,Washington,"Severe Winter Storm, Flooding, Landslides, and Mudslides",Major Disaster Declaration
2875,3/25/2011,Georgia,Elan Church Road Fire,Fire Management Assistance Declaration
2874,3/24/2011,Oklahoma,Osage County Fire Complex,Fire Management Assistance Declaration
1962,3/24/2011,New Mexico,Severe Winter Storm and Extreme Cold Temperatures,Major Disaster Declaration
1961,3/23/2011,Missouri,Severe Winter Storm and Snowstorm,Major Disaster Declaration
2873,3/21/2011,Colorado,Indian Gulch Fire,Fire Management Assistance Declaration
1960,3/17/2011,Illinois,Severe Winter Storm and Snowstorm,Major Disaster Declaration
2871,3/12/2011,Oklahoma,Goldsby Fire,Fire Management Assistance Declaration
2870,3/12/2011,Texas,Big Trickle Ranch Fire,Fire Management Assistance Declaration
2872,3/12/2011,Oklahoma,Shawnee Fire,Fire Management Assistance Declaration
2869,3/11/2011,Oklahoma,Midwest City Fire Complex,Fire Management Assistance Declaration
2867,3/11/2011,Texas,Enmin Fire,Fire Management Assistance Declaration
2868,3/11/2011,Oklahoma,Harrah Fire,Fire Management Assistance Declaration
2866,3/8/2011,New Mexico,Quail Ridge Fire,Fire Management Assistance Declaration
1959,3/7/2011,Massachusetts,Severe Winter Storm and Snowstorm,Major Disaster Declaration
1958,3/3/2011,Connecticut,Snowstorm,Major Disaster Declaration
2865,2/28/2011,Texas,Mitchell Fire Complex,Fire Management Assistance Declaration
2864,2/27/2011,Texas,Tanglewood Fire Complex,Fire Management Assistance Declaration
2862,2/27/2011,Texas,Willow Creek South Fire Complex,Fire Management Assistance Declaration
2863,2/27/2011,Texas,Matador Fire,Fire Management Assistance Declaration
2860,2/20/2011,Virginia,Smith Fire,Fire Management Assistance Declaration
2861,2/20/2011,Virginia,Coffman Fire,Fire Management Assistance Declaration
1957,2/18/2011,New York,Severe Winter Storm and Snowstorm,Major Disaster Declaration
1956,2/17/2011,Oregon,"Severe Winter Storm, Flooding, Mudslides, Landslides, And Debris Flows",Major Disaster Declaration
1955,2/11/2011,Utah,Severe Winter Storms and Flooding,Major Disaster Declaration
1954,2/4/2011,New Jersey,Severe Winter Storm and Snowstorm,Major Disaster Declaration
3317,2/3/2011,Missouri,Severe Winter Storm,Emergency Declaration
3316,2/2/2011,Oklahoma,Severe Winter Storm,Emergency Declaration
1953,2/1/2011,Maine,Severe Storms and Flooding,Major Disaster Declaration
1952,1/26/2011,California,"Winter Storms, Flooding, and Debris and Mud Flows",Major Disaster Declaration
4097,12/19/2012,Massachusetts,Hurricane Sandy,Major Disaster Declaration
4096,12/5/2012,District of Columbia (DC),Hurricane Sandy,Major Disaster Declaration
4095,11/28/2012,New Hampshire,Hurricane Sandy,Major Disaster Declaration
4093,11/27/2012,West Virginia,Hurricane Sandy,Major Disaster Declaration
4094,11/27/2012,Alaska,"Severe Storm, Straight-line winds, Flooding, and Landslides",Major Disaster Declaration
4092,11/26/2012,Virginia,Hurricane Sandy,Major Disaster Declaration
4091,11/20/2012,Maryland,Hurricane Sandy,Major Disaster Declaration
4090,11/16/2012,Delaware,Hurricane Sandy,Major Disaster Declaration
4088,11/3/2012,Utah,Severe Storm and Flooding,Major Disaster Declaration
4089,11/3/2012,Rhode Island,Hurricane Sandy,Major Disaster Declaration
3360,10/30/2012,New Hampshire,Hurricane Sandy,Emergency Declaration
4085,10/30/2012,New York,Hurricane Sandy,Major Disaster Declaration
4086,10/30/2012,New Jersey,Hurricane Sandy ,Major Disaster Declaration
